seq.links;X1;family_name;first_name;party2;party;constituency
https://www.parlament.ba/delegate/List?page=1;NA;Becirovic;Denis;Klub bošnjačkog naroda;SDP BiH;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Bosic;Mladen;Klub srpskog naroda;SDS;RS
https://www.parlament.ba/delegate/List?page=1;NA;Bradara;Lidija;Klub hrvatskog naroda;HDZ BiH;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Colak;Barisa;Klub hrvatskog naroda;HDZ BiH;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Covic;Dragan;Klub hrvatskog naroda;HDZ BiH;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Fazlic;Amir;Klub bošnjačkog naroda;SDA;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Izetbegovic;Bakir;Klub bošnjačkog naroda;SDA;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Majkic;Dusanka;Klub srpskog naroda;SNSD;RS
https://www.parlament.ba/delegate/List?page=1;NA;Miletic;Zlatko;Klub hrvatskog naroda;DF;FBiH
https://www.parlament.ba/delegate/List?page=1;NA;Novic;Sredoje;Klub srpskog naroda;SNSD;RS
https://www.parlament.ba/delegate/List?page=2;NA;Pendes;Marina;Klub hrvatskog naroda;HDZ BiH;FBiH
https://www.parlament.ba/delegate/List?page=2;NA;Prodanovic;Lazar;Klub srpskog naroda;SNSD;RS
https://www.parlament.ba/delegate/List?page=2;NA;Radoncic;Fahrudin;Klub bošnjačkog naroda;SBB - Fahrudin Radoncic;FBiH
https://www.parlament.ba/delegate/List?page=2;NA;Sarajlic;Asim;Klub bošnjačkog naroda;SDA;FBiH
https://www.parlament.ba/delegate/List?page=2;NA;Spiric;Nikola;Klub srpskog naroda;SNSD;RS
