link_to_law;value;value1
http://parlament.ba/olaw/OLawDetails?lawId=61794;Naziv dokumenta;Prijedlog zakona o izmjenama i dopunama Zakona o akcizama u Bosni i Hercegovini
http://parlament.ba/olaw/OLawDetails?lawId=61794;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61794;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1453/18, od 18.6.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61794;Predlagac u PDPSBiH;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status u PDPSBiH;Odbijen
http://parlament.ba/olaw/OLawDetails?lawId=61794;Red. br. i datum sjednice - tacka dnevnog reda;63.,   5.7.2018.,  26.7.2018. Ad. 2.
http://parlament.ba/olaw/OLawDetails?lawId=61794;Konacni status u PSBiH;Odbijen
http://parlament.ba/olaw/OLawDetails?lawId=61794;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61794;Naziv dokumenta;Prijedlog zakona o izmjenama i dopunama Zakona o akcizama u Bosni i Hercegovini
http://parlament.ba/olaw/OLawDetails?lawId=61794;Broj i datum Prijedloga zakona;01-02-1-1453/18, od 18.6.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61794;Predlagac;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61794;Postupak u PDPSBiH;Hitni
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status i faza postupka;Odbijen - PZ odbijen - nakon usvajanja zahtjeva za hitni postupak
http://parlament.ba/olaw/OLawDetails?lawId=61794;;"Prijedlog zakona.pdf
                                                          
                                                            Lektorisani Prijedlog zakona (B).pdf
                                                          
                                                            Trazi se misljenje od ZPS-Kolegij PD.pdf
                                                          
                                                            (B) Misljenje ZPS za PD.pdf
                                                          
                                                            Prijedlog zakona - korigovana verzija.pdf
                                                          
                                                            Lektorisani Prijedlog zakona (B)-korigovani tekst.pdf
                                                          
                                                            Trazi se misljenje od ZPS - PD.pdf
                                                          
                                                            (B) Misljenje ZPS.pdf"
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status i faza postupka;Procedura - Usvojen zahtjev predlagaca za razmatranje PZ po hitnom postupku
http://parlament.ba/olaw/OLawDetails?lawId=61794;Red. br. i datum sjednice - tacka dnevnog reda;63.,     5.7.2018.,    26.7.2018. Ad. 2.
http://parlament.ba/olaw/OLawDetails?lawId=61794;Status i faza postupka;Odbijen - PZ odbijen - nakon usvajanja zahtjeva za hitni postupak
http://parlament.ba/olaw/OLawDetails?lawId=61794;Red. br. i datum sjednice - tacka dnevnog reda;63.,     5.7.2018.,    26.7.2018. Ad. 2.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom servisu Bosne i Hercegovine
http://parlament.ba/olaw/OLawDetails?lawId=61566;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61566;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1292/18, od 28.5.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Predlagac u PDPSBiH;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status u PDPSBiH;Procedura
http://parlament.ba/olaw/OLawDetails?lawId=61566;Red. br. i datum sjednice - tacka dnevnog reda;66.,   3.9.2018. Ad. 6.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Konacni status u PSBiH;Procedura - nije preuzet
http://parlament.ba/olaw/OLawDetails?lawId=61566;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61566;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom servisu Bosne i Hercegovine
http://parlament.ba/olaw/OLawDetails?lawId=61566;Broj i datum Prijedloga zakona;01-02-1-1292/18, od 28.5.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Predlagac;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61566;Postupak u PDPSBiH;Redovni
http://parlament.ba/olaw/OLawDetails?lawId=61566;Nadlezna komisija;Komisija za saobracaj i komunikacije
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status i faza postupka;Procedura - UPK je utvrdila da PZ nije usaglasen sa Ustavom BiH i pravnim sistemom BiH
http://parlament.ba/olaw/OLawDetails?lawId=61566;;"Prijedlog zakona.pdf
                                                          
                                                            Lektorisani Prijedlog zakona (B).pdf
                                                          
                                                            Trazi se misljenje od ZPS-PD.pdf
                                                          
                                                            (B) Misljenje ZPS.pdf
                                                          
                                                            Precisceni tekst zakona.pdf
                                                          
                                                            Misljenje DEIBiH.pdf"
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status i faza postupka;Procedura - Nije prihvacen zahtjev predlagaca za razmatranje PZ po hitnom postupku
http://parlament.ba/olaw/OLawDetails?lawId=61566;Red. br. i datum sjednice - tacka dnevnog reda;62.,     30.5.2018.,    20.6.2018.,    5.7.2018. Ad. 4.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status i faza postupka;Procedura - PZ razmatrat ce se u skladu s opcim pravilima - zahtjev predlagaca za razmatranje PZ po hitnom postupku nije prihvacen kao ni skraceni postupak
http://parlament.ba/olaw/OLawDetails?lawId=61566;Red. br. i datum sjednice - tacka dnevnog reda;62.,     30.5.2018.,    20.6.2018.,    5.7.2018. Ad. 4.
http://parlament.ba/olaw/OLawDetails?lawId=61566;Status i faza postupka;Procedura - UPK je utvrdila da PZ nije usaglasen sa Ustavom BiH i pravnim sistemom BiH
http://parlament.ba/olaw/OLawDetails?lawId=61566;Red. br. i datum sjednice - tacka dnevnog reda;66.,     3.9.2018. Ad. 6.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom sistemu Bosne i Hercegovine
http://parlament.ba/olaw/OLawDetails?lawId=61565;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61565;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1291/18, od 28.5.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Predlagac u PDPSBiH;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status u PDPSBiH;Procedura
http://parlament.ba/olaw/OLawDetails?lawId=61565;Red. br. i datum sjednice - tacka dnevnog reda;66.,   3.9.2018. Ad. 5.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Konacni status u PSBiH;Procedura - nije preuzet
http://parlament.ba/olaw/OLawDetails?lawId=61565;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61565;Naziv dokumenta;Prijedlog zakona o izmjenama Zakona o Javnom radiotelevizijskom sistemu Bosne i Hercegovine
http://parlament.ba/olaw/OLawDetails?lawId=61565;Broj i datum Prijedloga zakona;01-02-1-1291/18, od 28.5.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Predlagac;Mladen Bosic, Aleksandra Pandurevic, Nenad Lalic, Momcilo Novakovic
http://parlament.ba/olaw/OLawDetails?lawId=61565;Postupak u PDPSBiH;Redovni
http://parlament.ba/olaw/OLawDetails?lawId=61565;Nadlezna komisija;Komisija za saobracaj i komunikacije
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status i faza postupka;Procedura - UPK je utvrdila da PZ nije usaglasen sa Ustavom BiH i pravnim sistemom BiH
http://parlament.ba/olaw/OLawDetails?lawId=61565;;"Prijedlog zakona.pdf
                                                          
                                                            Lektorisani Prijedlog zakona (B).pdf
                                                          
                                                            Nesluzbeni precisceni tekst.pdf
                                                          
                                                            Trazi se misljenje od ZPS-PD.pdf
                                                          
                                                            (B) Misljenje ZPS.pdf
                                                          
                                                            Precisceni tekst zakona.pdf
                                                          
                                                            (B) Lektorisani PZ.pdf
                                                          
                                                            Trazi se misljenje od ZPS-Kolegij PD.pdf
                                                          
                                                            (B) Misljenje ZPS za PD.pdf
                                                          
                                                            Misljenje DEIBiH.pdf
                                                          
                                                            Misljenje VMBiH-MKTBiH.pdf"
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status i faza postupka;Procedura - Nije prihvacen zahtjev predlagaca za razmatranje PZ po hitnom postupku
http://parlament.ba/olaw/OLawDetails?lawId=61565;Red. br. i datum sjednice - tacka dnevnog reda;62.,     30.5.2018.,    20.6.2018.,    5.7.2018. Ad. 3.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status i faza postupka;Procedura - PZ razmatrat ce se u skladu s opcim pravilima - zahtjev predlagaca za razmatranje PZ po hitnom postupku nije prihvacen kao ni skraceni postupak
http://parlament.ba/olaw/OLawDetails?lawId=61565;Red. br. i datum sjednice - tacka dnevnog reda;62.,     30.5.2018.,    20.6.2018.,    5.7.2018. Ad. 3.
http://parlament.ba/olaw/OLawDetails?lawId=61565;Status i faza postupka;Procedura - UPK je utvrdila da PZ nije usaglasen sa Ustavom BiH i pravnim sistemom BiH
http://parlament.ba/olaw/OLawDetails?lawId=61565;Red. br. i datum sjednice - tacka dnevnog reda;66.,     3.9.2018. Ad. 5.
http://parlament.ba/olaw/OLawDetails?lawId=61443;Naziv dokumenta;Prijedlog zakona o izmjeni i dopuni Zakona o zastavi Bosne i Hercegovine
http://parlament.ba/olaw/OLawDetails?lawId=61443;Saziv;VII. (2014. - 2018.)
http://parlament.ba/olaw/OLawDetails?lawId=61443;Broj i datum Prijedloga zakona u PDPSBiH;01-02-1-1206/18, od 16.5.2018.
http://parlament.ba/olaw/OLawDetails?lawId=61443;Predlagac u PDPSBiH;Sasa Magazinovic
http://parlament.ba/olaw/OLawDetails?lawId=61443;Status u PDPSBiH;Procedura
http://parlament.ba/olaw/OLawDetails?lawId=61443;Red. br. i datum sjednice - tacka dnevnog reda;
http://parlament.ba/olaw/OLawDetails?lawId=61443;Konacni status u PSBiH;Procedura - nije preuzet
