link_to_page;date.publish;decision.name;date.publish.orig;category;page;category_name
http://www.ohr.int/?cat=318&paged=1;2011-03-28;Order Temporarily Suspending Certain Decisions of the Central Election Commission of Bosnia and Herzegovina Adopted at its 21st Session Held on 24 March 2011 and any Proceedings Concerning Said Decisions;03/28/2011;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2011-01-21;Decision Repealing the Decision Enacting the Law on Amendments to the Law on Electricity of 18 September 2009;01/21/2011;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2010-12-30;Decision Enacting the Law on the Amendments to the Law on Transmission of Electric Power, the Regulator and System Operator of Bosnia and Herzegovina;12/30/2010;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Amendments to the Law Establishing the Company for the Transmission of Electric Power in Bosnia and Herzegovina;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on the Distribution, Purpose and Use of Financial Assets Obtained Under Annex “C” to the Agreement on the Succession Issues;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Citizenship of Republika Srpska;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Citizenship of the Federation of Bosnia and Herzegovina;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Citizenship of Bosnia and Herzegovina;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Electricity;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Electricity;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-09-18;Decision Enacting the Law on Amendments to the Law on Transmission of Electric Power, Regulator and System Operator of Bosnia and Herzegovina;09/18/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=1;2009-06-20;Decision Repealing the Conclusions of the Republika Srpska National Assembly No. 01-787/09 and No. 01-788/09 adopted on 14 May 2009;06/20/2009;318;1;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2007-12-03;Decision Enacting the Authentic Interpretation of the Law on Changes and Amendments to the Law on the Council of Ministers of Bosnia and HerzegovinaEnacted by the Decision of the High Representative of 19 October 2007;12/03/2007;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2007-10-19;Decision Enacting the Law on Changes and Amendments  to the Law on the Council of Ministers of Bosnia and Herzegovina;10/19/2007;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2007-03-23;Order on the Implementation of the Decision of the Constitutional Court of Bosnia and Herzegovina in the Appeal of Milorad Bilbija et al, No. AP-953/05;03/23/2007;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2007-03-23;Decision Nullifying and Voiding the Decision of the HoR of the Parliament of the FBH on Confirmation of the Decision on Appointment of the PM/President, the Deputy PM and the Ministers in the FBiH Government adopted at its Session held on 22.03.2007;03/23/2007;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2007-02-15;Decision Enacting the Decision Extending the Mandate of the State Commission for the Review of Decisions on Naturalization of Foreign Citizens;02/15/2007;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2006-01-27;Decision Enacting the Law on Changes and Amendments to the Election Law of Bosnia and Herzegovina;01/27/2006;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting the Law on Salaries and Other Compensations for Judges and Prosecutors in Brcko District of Bosnia and Herzegovina;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting the Law on Salaries and Other Compensations for Judges and Prosecutors in the Republika Srpska;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting the Law on Salaries and Other Compensations for Judges and Prosecutors in the Federation of Bosnia and Herzegovina;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting the Law on Salaries and Other Compensations in Judicial and Prosecutorial Institutions at the Level of Bosnia and Herzegovina;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting amendments to the Constitution of the Republika Srpska;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=2;2005-12-12;Decision Enacting amendments to the Constitution of the Federation of Bosnia and Herzegovina;12/12/2005;318;2;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-10-14;Decision Annulling the Decision of the Assembly of the Public Enterprise International Airport Sarajevo Changing the Name of the Enterprise;10/14/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-22;Decision Extending the Effects of the High Representative’s Decision Blocking all Bank Accounts Held by and/or in the Name of the SDS and Requiring the SDS to Establish One Bank Account, no. 221/04 of 30 June 2004;09/22/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-22;Decision Ordering SDS Doboj to Submit Monthly Reports on All Financial Transactions;09/22/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-22;Decision Ordering SDS Doboj to Repay Specified Donations Made to the SDS;09/22/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-09;Decision On Appointment of the Assistant Director for the Internal Control Department of the State Investigation and Protection Agency;09/09/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-09;Decision On Appointment of the Assistant Director for the Criminal Investigative Department of the State Investigation and Protection Agency;09/09/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-09;Decision On Appointment of the Deputy Director of the State Investigation and Protection Agency;09/09/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-09-09;Decision On Appointment of the Deputy Director of the State Border Service;09/09/2005;318;3;State Symbols, State-Level Matters and Const. Issues
