district.id,district.name,district.id mean,map_id3,comment
1,Velika Kladusa,1,64,
2,Cazin,2,61,
3,Bihac,3,57,
4,Bosanska Krupa,4,58,
5,Buzim,5,60,
6,Krupa na Uni,6,88,
7,Novi Grad,7,92,
8,Kozarska Dubica,8,84,
9,Prijedor,9,95,
10,Gradiska,10,82,
11,Laktasi,11,90,
12,Srbac,12,100,
13,Prnjavor,13,96,
14,Derventa,14,106,
16,Brod,16,105,
17,Odzak,17,33,
18,Vukosavlje,18,113,
20,Domaljevac-Samac,20,32,
21,Samac,21,112,
22,Orasje,22,34,
23,Donji Zabar,23,108,
24,Modrica,24,109,
25,Gradacac,25,48,
26,Pelagicevo,26,110,
28,Brcko,28,1,2012 kein Brcko mit district.id=28
29,Bijeljina,29,102,
30,Bosanski Petrovac,30,59,
31,Petrovac,31,94,
32,Sanski Most,32,63,
33,Ostra Luka,33,93,
34,Banja Luka,34,81,
35,Celinac,35,80,
36,Doboj Istok,36,46,
37,Doboj Jug,37,70,
38,Doboj,38,107,
39,Tesanj,39,74,
42,Maglaj,42,72,
44,Gracanica,44,47,
45,Petrovo,45,111,
47,Lukavac,47,51,
49,Srebenik ,49,53,
50,Tuzla,50,55,
52,Celic,52,44,
54,Lopare,54,103,
55,Teocak,55,54,
56,Ugljevik,56,104,
57,Drvar,57,6,
58,Istocni Drvar,58,85,
59,Kljuc,59,62,
61,Ribnik,61,97,
64,Mrkonjic Grad,64,91,
65,Jajce,65,17,
66,Jezero,66,86,
67,Dobretici,67,13,
68,Knezevo,68,99,
70,Kotor Varos,70,87,
74,Teslic,74,101,
75,Zepce,75,79,
77,Zavidovici,77,77,
78,Banovici,78,45,
79,Zivinice,79,56,
80,Kalesija,80,49,
81,Osmaci,81,137,
82,Sapna ,82,52,
83,Zvornik,83,141,
84,Bosansko Grahovo,84,5,
85,Glamoc,85,7,
88,Sipovo,88,98,
89,Donji Vakuf,89,14,
91,Travnik,91,21,
93,Zenica,93,78,
94,Kakanj,94,71,
95,Vares,95,75,
96,Olovo,96,73,
98,Kladanj,98,50,
101,Sekovici,101,138,
103,Vlasenica,103,140,
104,Bratunac,104,135,
105,Srebrenica,105,139,
106,Livno,106,9,
107,Kupres (FBiH),107,8,
108,Kupres (RS),108,89,
109,Bogonjo,109,11,
110,Gronji Vakuf-Uskoplje,110,16,
111,Novi Travnik,111,20,
112,Vitez,112,22,
113,Busovaca,113,12,
114,Fojnica,114,15,
115,Kiseljak,115,18,
116,Visoko,116,76,
117,Breza,117,69,
118,Ilijas,118,38,
121,Sokolac,121,126,
123,Han Pijesak,123,121,
124,Tomislavgrad,124,10,
125,Prozor-Rama,125,29,
126,Jablanica,126,25,
127,Konjic,127,26,
129,Kresevo,129,19,
130,Hadzici,130,36,
131,Ilidza,131,37,
132,Istocna Ilidza,132,122,
133,Novi Grad Sarajevo,133,39,
135,Vogosca,135,43,
136,Centar Sarajevo,136,35,
137,Stari Grad Sarajevo,137,41,
138,Istocni Stari Grad,138,123,
139,Novo Sarajevo,139,40,
140,Istocno Novo Sarajevo,140,120,
141,Trnovo (FBiH),141,42,
142,Trnovo (RS),142,127,
143,Pale (FBiH),143,4,
144,Pale (RS),144,124,
146,Rogatica,146,125,
147,Visegrad,147,119,
148,Posusje,148,67,
149,Grude,149,65,
150,Siroki Brijeg,150,68,
151,Mostar Jug,151,27,Mostar South
152,Mostar Jugoistok,152,27,Mostar Southeast
153,Mostar Jugozapad,153,27,Mostar Southwest
154,Mostar Sjever,154,27,Mostar North
155,Mostar Stari Grad,155,27,Mostar Old Town
156,Mostar Zapad,156,27,Mostar West
157,Lista na Nivou/Razini Grada Mostara za Gradsko Vijece,157,27,List of the level / standard of Mostar for City Council
158,Istocni Mostar,158,132,East Mostar
161,Nevesinje,161,133,
163,Kalinovik,163,116,
164,Gacko,164,130,
165,Foca (FBiH),165,115,
166,Foca (RS),166,2,
167,Gorazde,167,3,
168,Novo Gorazde,168,117,
169,Cajnice,169,114,
170,Rudo,170,118,
171,Ljubuski,171,66,
172,Citluk,172,24,
173,Capljina,173,23,
174,Neum,174,28,
176,Stolac,176,31,
177,Berkovici,177,128,
179,Ljubinje,179,131,
180,Bileca,180,129,
181,Ravno,181,30,
182,Trebinje,182,134,
183,Usora,183,74,Usora was split from Tesanj; first separate results in 2000
184,Kostajnica,184,83,
185,Milici,185,136,
199,Grad Mostar,199,27,check
200,Brcko District,200,1,check
251,Opcina Mostar Jug za Gradsko Vijece Grada Mostara,251,27,Municipality Mostar South - Mostar City Council
252,Opcina Mostar Jugoistok za Gradsko Vijece Grada Mostara,252,27,Municipality Mostar Southeast - Mostar City Council
253,Opcina Mostar Jogozapad za Gradsko Vijece Grada Mostara,253,27,Municipality Mostar Southwest - Mostar City Council
254,Opcina Mostar Sjever za Gradsko Vijece Grada Mostara,254,27,Municipality Mostar North - Mostar City Council
255,Opcina Mostar Stari Grad za Gradsko Vijece Grada Mostara,255,27,Municipality Mostar Old Town - Mostar City Council
256,Opcina Mostar Zapad za Gradsko Vijece Grada Mostara,256,27,Municipality Mostar West - Mostar City Council
