year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,control sum,seats
1997,Velika Kladusa,1,Stranka za Bosnu i Hercegovinu (Stranka za BiH),1184,133,1317,2
1997,Velika Kladusa,1,MBO,66,5,71,0
1997,Velika Kladusa,1,SDP BiH,226,44,270,0
1997,Velika Kladusa,1,BSP - Bosnjacka Stranka Prava,38,9,47,0
1997,Velika Kladusa,1,HDZ BiH,200,26,226,0
1997,Velika Kladusa,1,Demokratska Narodna Zajednica BiH - DNZ BiH,10419,2588,13007,15
1997,Velika Kladusa,1,Seljacka Bosanska Stranka,20,6,26,0
1997,Velika Kladusa,1,Muslimanska Demokratska Stranka (MDS),251,28,279,0
1997,Velika Kladusa,1,BDO BiH Bosnjacka Demokratska Organizacija BiH,25,7,32,0
1997,Velika Kladusa,1,SDA,5676,664,6340,7
1997,Velika Kladusa,1,Muhamed Cuforvic - Dado,17,18,35,0
1997,Velika Kladusa,1,Zijad Latic,21,4,25,0
1997,Cazin,2,MBO,80,5,85,0
1997,Cazin,2,SDP BiH,1108,91,1199,1
1997,Cazin,2,BSP - Bosnjacka Stranka Prava,140,7,147,0
1997,Cazin,2,Demokratska Narodna Zajednica BiH - DNZ BiH,3525,575,4100,5
1997,Cazin,2,Seljacka Bosanska Stranka,142,8,150,0
1997,Cazin,2,BOSS - Bosanska Stranka,126,8,134,0
1997,Cazin,2,Stranka Demokratskog Centra Cazin (SDC - Cazin),1410,153,1563,2
1997,Cazin,2,Muslimanska Demokratska Stranka (MDS),306,23,329,0
1997,Cazin,2,BDO BiH Bosnjacka Demokratska Organizacija BiH,128,6,134,0
1997,Cazin,2,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",17422,2376,19798,22
1997,Cazin,2,Bajric Senad - Serdo,88,5,93,0
1997,Cazin,2,Sepic Rifet,66,2,68,0
1997,Cazin,2,Causevic Zijad,66,4,70,0
1997,Cazin,2,Cizmic Sead - Sedo,44,6,50,0
1997,Cazin,2,Zunic Suvad,152,10,162,0
1997,Cazin,2,Hasib Kapic,132,9,141,0
1997,Cazin,2,Catic Sejdo,104,6,110,0
1997,Cazin,2,Saric Saban,30,3,33,0
1997,Cazin,2,Braco Beckanovic,25,6,31,0
1997,Cazin,2,Samardzic Dulaga,84,11,95,0
1997,Cazin,2,Husein Samaradzic,85,7,92,0
1997,Cazin,2,Redzic Husein,161,14,175,0
1997,Bihac,3,SDP BiH,2205,207,2412,3
1997,Bihac,3,Hrvatska Stranka Prava - HSP,99,8,107,0
1997,Bihac,3,BSP - Bosnjacka Stranka Prava,659,30,689,0
