year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,seats,control sum
2000,Velika Kladusa,1,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,63,3,0,
2000,Velika Kladusa,1,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,570,94,1,
2000,Velika Kladusa,1,HDZBiH-Hrvatska Demokratska Zajednica BiH,48,7,0,
2000,Velika Kladusa,1,Stranka za Bosnu i Hercegovinu,344,57,1,
2000,Velika Kladusa,1,Bosnjacka Stranka Prava BiH (BSP BiH),39,0,0,
2000,Velika Kladusa,1,(BNDS) Bosanska Narodna Demokratska Stranka Bosne i Hercegovine,34,0,0,
2000,Velika Kladusa,1,BH DA,46,4,0,
2000,Velika Kladusa,1,Demokratska Narodna Zajednica BiH - DNZ BiH,12106,1107,20,
2000,Velika Kladusa,1,Bosanskohercegovacka Patriotska Stranka - BPS,37,11,0,
2000,Velika Kladusa,1,Muslimanska Bosnjacka Organizacija Bosne i Hercegovine,23,6,0,
2000,Velika Kladusa,1,Stranka Penzionera F BiH,31,4,0,
2000,Velika Kladusa,1,Stranka Demokratske Akcije - SDA,3654,201,6,
2000,Velika Kladusa,1,BOSS - Bosanska Stranka,30,1,0,
2000,Cazin,2,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,15,5,0,
2000,Cazin,2,Stranka Demokratskog Centra Cazin,900,50,1,
2000,Cazin,2,LBO BiH,23,5,0,
2000,Cazin,2,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,3339,192,5,
2000,Cazin,2,Stranka za Bosnu i Hercegovinu,1130,122,2,
2000,Cazin,2,Bosnjacka Stranka Prava BiH (BSP BiH),195,8,0,
2000,Cazin,2,(BNDS) Bosanska Narodna Demokratska Stranka Bosne i Hercegovine,51,5,0,
2000,Cazin,2,Demokratska Narodna Zajednica BiH - DNZ BiH,3858,348,5,
2000,Cazin,2,Partija Pravog Puta BiH,18,0,0,
2000,Cazin,2,Bosanskohercegovacka Patriotska Stranka - BPS,57,2,0,
2000,Cazin,2,Muslimanska Bosnjacka Organizacija Bosne i Hercegovine,31,2,0,
2000,Cazin,2,Stranka Penzionera F BiH,144,11,0,
2000,Cazin,2,Stranka Demokratske Akcije - SDA,12626,517,17,
2000,Cazin,2,BOSS - Bosanska Stranka,143,9,0,
2000,Bihac,3,Zavicajni Socijaldemokrati Rs I Bih (stranka Drvarcana),9,96,0,
2000,Bihac,3,LBO BiH,27,2,0,
2000,Bihac,3,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,5807,265,10,
2000,Bihac,3,HDZBiH-Hrvatska Demokratska Zajednica BiH,489,33,1,
2000,Bihac,3,Stranka za Bosnu i Hercegovinu,2602,223,4,
2000,Bihac,3,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",173,11,0,
2000,Bihac,3,Hrvatski Demokrscani,15,0,0,
2000,Bihac,3,Socijalisticka Partija Republike Srpske,21,527,1,
2000,Bihac,3,Bosnjacka Stranka Prava BiH (BSP BiH),742,23,1,
2000,Bihac,3,DS Penzionera BiH,291,15,0,
2000,Bihac,3,(BNDS) Bosanska Narodna Demokratska Stranka Bosne i Hercegovine,7,0,0,
2000,Bihac,3,BH DA,70,3,0,
2000,Bihac,3,Demokratska Narodna Zajednica BiH - DNZ BiH,161,49,0,
2000,Bihac,3,Zena BiH,85,5,0,
2000,Bihac,3,Hrvatska Stranka Prava (HSP),63,5,0,
2000,Bihac,3,Muslimanska Bosnjacka Organizacija Bosne i Hercegovine,25,1,0,
2000,Bihac,3,Stranka Penzionera F BiH,192,4,0,
2000,Bihac,3,Radnicka Demokratska Partija - Bosne i Hercegovine,26,4,0,
2000,Bihac,3,Stranka Demokratske Akcije - SDA,7752,365,13,
2000,Bihac,3,BOSS - Bosanska Stranka,134,2,0,
2000,Bosanska Krupa,4,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,1893,150,5,
2000,Bosanska Krupa,4,Stranka za Bosnu i Hercegovinu,2015,121,5,
2000,Bosanska Krupa,4,Socijalisticka Partija Republike Srpske,7,526,1,
2000,Bosanska Krupa,4,Bosnjacka Stranka Prava BiH (BSP BiH),365,31,1,
2000,Bosanska Krupa,4,BH DA,17,0,0,
2000,Bosanska Krupa,4,Demokratska Narodna Zajednica BiH - DNZ BiH,30,5,0,
2000,Bosanska Krupa,4,Stranka Penzionera F BiH,262,13,1,
2000,Bosanska Krupa,4,Stranka Demokratske Akcije - SDA,4520,351,12,
2000,Bosanska Krupa,4,BOSS - Bosanska Stranka,34,3,0,
2000,Buzim,5,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,557,19,1,
2000,Buzim,5,Stranka za Bosnu i Hercegovinu,1039,50,3,
2000,Buzim,5,Radoncic Ramo dipl. ecc.,12,0,0,
2000,Buzim,5,Bosnjacka Stranka Prava BiH (BSP BiH),120,3,0,
2000,Buzim,5,Demokratska Narodna Zajednica BiH - DNZ BiH,57,12,0,
2000,Buzim,5,Zena BiH,5,1,0,
2000,Buzim,5,Partija Pravog Puta BiH,11,0,0,
2000,Buzim,5,Stranka Demokratske Akcije - SDA,4855,191,13,
2000,Buzim,5,BOSS - Bosanska Stranka,6,2,0,
2000,Bosanska Krupa/Krupa na Uni,6,SNS - Biljana Plavsic,294,16,3,
2000,Bosanska Krupa/Krupa na Uni,6,Socijalisticka Partija Republike Srpske,36,12,0,
2000,Bosanska Krupa/Krupa na Uni,6,SDS - Srpska Demokratska Stranka,868,46,8,
2000,Bosanski Novi/Novi Grad,7,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,4,6,0,
2000,Bosanski Novi/Novi Grad,7,SNS - Biljana Plavsic,1525,18,2,
2000,Bosanski Novi/Novi Grad,7,SPAS - Srpska Patriotska Stranka,70,3,0,
2000,Bosanski Novi/Novi Grad,7,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,81,794,1,
2000,Bosanski Novi/Novi Grad,7,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",96,2365,4,
2000,Bosanski Novi/Novi Grad,7,Socijalisticka Partija Republike Srpske,5647,67,8,
