year,district.name,district.id,party,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,seats,minority,minority.elected
2008,Velika Kladusa,1,Demokratska Narodna Zajednica BiH,10905,63,43,4,19,,
2008,Velika Kladusa,1,Stranka Demokratske Akcije,2167,18,9,0,4,,
2008,Velika Kladusa,1,Kladuska Stranka Privrednog Prosperiteta,1713,1,5,1,3,,
2008,Velika Kladusa,1,Narodna Stranka Radom za Boljitak,877,0,2,1,1,,
2008,Velika Kladusa,1,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,405,4,1,0,0,,
2008,Velika Kladusa,1,Socijaldemokratska Partija Bosne i Hercegovine,373,3,1,0,0,,
2008,Velika Kladusa,1,Stranka za Bosnu i Hercegovinu,262,1,2,0,0,,
2008,Velika Kladusa,1,Fikret Dukic,124,0,1,0,0,,
2008,Velika Kladusa,1,Nasa Stranka,88,0,0,0,0,,
2008,Velika Kladusa,1,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,75,0,0,0,0,,
2008,Velika Kladusa,1,Hrvatska Demokratska Zajednica BiH,31,0,1,0,0,,
2008,Velika Kladusa,1,Hrvatska Stranka Prava Bosne i Hercegovine - Dapic - Dr. Jurisic,7,0,0,0,0,,
2008,Velika Kladusa,1,Bosansko Demokratska Stranka,11,,,,1,y,y
2008,Cazin,2,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,8368,54,11,3,11,,
2008,Cazin,2,Stranka Demokratske Akcije,8367,30,6,7,10,,
2008,Cazin,2,Socijaldemokratska Partija Bosne i Hercegovine,3185,12,4,3,4,,
2008,Cazin,2,Demokratska Narodna Zajednica BiH,2870,25,1,2,4,,
2008,Cazin,2,Stranka za Bosnu i Hercegovinu,813,9,0,2,1,,
2008,Cazin,2,Nasa Stranka,660,3,1,0,0,,
2008,Cazin,2,Narodna Stranka Radom za Boljitak,326,0,1,0,0,,
2008,Cazin,2,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,286,0,0,0,0,,
2008,Cazin,2,Socijaldemokratska Unija Bosne i Hercegovine,178,2,0,0,0,,
2008,Cazin,2,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,137,1,0,0,0,,
2008,Cazin,2,BOSS - Bosanska Stranka - Mirnes Ajanovic,48,0,0,0,0,,
2008,Cazin,2,Hrvatska Stranka Prava Bosne i Hercegovine - Dapic - Dr. Jurisic,7,0,0,0,0,,
2008,Bihac,3,Socijaldemokratska Partija Bosne i Hercegovine,12759,46,28,4,16,,
2008,Bihac,3,Stranka Demokratske Akcije,6958,30,13,0,9,,
2008,Bihac,3,Stranka za Bosnu i Hercegovinu,1749,15,6,0,2,,
2008,Bihac,3,Hrvatska Demokratska Zajednica BiH,1392,1,2,1,2,,
2008,Bihac,3,Socijaldemokratska Unija Bosne i Hercegovine,930,1,2,0,1,,
2008,Bihac,3,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,576,7,2,0,0,,
2008,Bihac,3,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,378,0,3,1,0,,
2008,Bihac,3,Narodna Stranka Radom za Boljitak,350,0,1,2,0,,
2008,Bihac,3,Nasa Stranka,256,2,0,0,0,,
2008,Bihac,3,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,225,0,0,0,0,,
2008,Bihac,3,Demokratska Narodna Zajednica BiH,88,1,1,0,0,,
2008,Bihac,3,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,21,0,3,0,0,,
2008,Bihac,3,BOSS - Bosanska Stranka - Mirnes Ajanovic,23,0,1,0,0,,
2008,Bihac,3,Demokratska Stranka Invalida Tuzla,16,0,1,0,0,,
2008,Bosanska Krupa,4,Stranka Demokratske Akcije,3461,22,18,1,8,,
2008,Bosanska Krupa,4,Socijaldemokratska Partija Bosne i Hercegovine,3064,15,35,1,7,,
2008,Bosanska Krupa,4,E5 - Evropska Ekoloska Stranka,1369,8,4,0,3,,
2008,Bosanska Krupa,4,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,949,6,20,0,2,,
2008,Bosanska Krupa,4,Stranka za Bosnu i Hercegovinu,628,2,6,0,2,,
2008,Bosanska Krupa,4,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,488,6,8,0,1,,
2008,Bosanska Krupa,4,Socijaldemokratska Unija Bosne i Hercegovine,338,0,3,0,1,,
2008,Bosanska Krupa,4,Stranka Penzionera - Umirovlenika Bosne i Hercegovine,199,1,4,0,0,,
2008,Bosanska Krupa,4,Narodna Stranka Radom za Boljitak,59,0,0,0,0,,
2008,Bosanska Krupa,4,Demokratska Narodna Zajednica BiH,46,0,0,0,0,,
2008,Bosanska Krupa,4,BOSS - Bosanska Stranka - Mirnes Ajanovic,34,0,0,0,0,,
2008,Bosanska Krupa,4,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,27,0,6,0,0,,
2008,Bosanska Krupa,4,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,25,,,,1,y,y
2008,Bosanska Krupa,4,Bosansko Demokratska Stranka,8,,,,0,y,n
2008,Buzim,5,Stranka Demokratske Akcije,3648,2,20,5,9,,
2008,Buzim,5,Stranka Demokratske Aktivnosti za Evropsku BiH A-SDA,1472,0,1,3,3,,
2008,Buzim,5,Stranka za Bosnu i Hercegovinu,831,2,1,0,2,,
2008,Buzim,5,Socijaldemokratska Partija Bosne i Hercegovine,358,2,1,0,1,,
2008,Buzim,5,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,339,0,4,0,1,,
2008,Buzim,5,E5 - Evropska Ekoloska Stranka,265,0,2,0,1,,
2008,Buzim,5,Demokratska Narodna Zajednica BiH,172,0,0,0,0,,
2008,Buzim,5,Nezavisna Lista Buzim - 2008,139,0,0,0,0,,
2008,Buzim,5,Liberalno Demokratska Stranka BiH,70,0,0,0,0,,
2008,Buzim,5,Socijaldemokratska Unija Bosne i Hercegovine,36,2,0,0,0,,
2008,Bosanska Krupa / Krupa Na Uni,6,Demokratski Narodni Savez,431,0,0,1,4,,
2008,Bosanska Krupa / Krupa Na Uni,6,Srpska Demokratska Stranka,276,0,1,0,3,,
2008,Bosanska Krupa / Krupa Na Uni,6,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,247,1,0,0,3,,
2008,Bosanska Krupa / Krupa Na Uni,6,Partija Demokratskog Progresa,57,0,0,0,1,,
2008,Bosanska Krupa / Krupa Na Uni,6,Narodna Demokratska Stranka,28,0,0,0,0,,
2008,Bosanska Krupa / Krupa Na Uni,6,Srpska Radikalna Stranka Dr. Vojislav Seselj,27,0,0,0,0,,
2008,Bosanska Krupa / Krupa Na Uni,6,Srpska Radikalna Stranka Republike Srpske,26,0,0,0,0,,
2008,Bosanska Krupa / Krupa Na Uni,6,Socijalisticka Partija,3,0,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,5808,0,0,23,10,,
2008,Bosanski Novi / Novi Grad,7,Srpska Demokratska Stranka,4262,0,1,20,7,,
2008,Bosanski Novi / Novi Grad,7,Srpska Radikalna Stranka Republike Srpske,1473,0,1,14,2,,
2008,Bosanski Novi / Novi Grad,7,Stranka Demokratske Akcije,1234,135,11,10,2,,
2008,Bosanski Novi / Novi Grad,7,Demokratski Narodni Savez,1029,0,0,6,2,,
2008,Bosanski Novi / Novi Grad,7,Partija Demokratskog Progresa,968,2,0,4,2,,
2008,Bosanski Novi / Novi Grad,7,Socijaldemokratska Partija Bosne i Hercegovine,521,37,6,0,1,,
2008,Bosanski Novi / Novi Grad,7,Stranka za Bosnu i Hercegovinu,367,56,2,1,0,,
2008,Bosanski Novi / Novi Grad,7,Socijalisticka Partija,252,0,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,Narodna Stranka Novi Grad,201,1,3,0,0,,
2008,Bosanski Novi / Novi Grad,7,Milovan Antonic,159,0,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,Demokratska Narodna Zajednica BiH,65,4,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,Srpska Radikalna Stranka Dr. Vojislav Seselj,55,0,1,0,0,,
2008,Bosanski Novi / Novi Grad,7,Narodna Stranka Radom za Boljitak,47,0,1,1,0,,
2008,Bosanski Novi / Novi Grad,7,Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic,41,4,0,1,0,,
2008,Bosanski Novi / Novi Grad,7,Narodna Demokratska Stranka,33,0,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,E5 - Evropska Ekoloska Stranka,5,2,0,0,0,,
2008,Bosanski Novi / Novi Grad,7,Nezvisni Kandidat,171,,,,1,y,y
2008,Bosanski Novi / Novi Grad,7,Socijaldemokratska Partija Bosne i Hercegovine,47,,,,0,y,n
2008,Bosanski Novi / Novi Grad,7,Narodna Stranka Radom za Boljitak,28,,,,0,y,n
2008,Bosanska Dubica / Kozarska Dubica,8,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,4844,0,24,2,12,,
