year,district.name,district.id,party.code,party,total,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,percentage,seats,minority,minority.elected
2012,Velika Kladusa,1,28,DEMOCRATIC NATIONAL COMMUNITY BIH - DNZ BIH,12749,12662,65,17,5,63.28,18,,
2012,Velika Kladusa,1,90,SDA-Party of Democratic Action,3059,3036,15,7,1,15.18,4,,
2012,Velika Kladusa,1,1015,KladuSke PARTY ECONOMIC PROSPERITY,1763,1726,27,9,1,8.75,3,,
2012,Velika Kladusa,1,8,SDP SOCIAL DEMOCRATIC PARTY OF BIH,1230,1223,3,2,2,6.1,2,,
2012,Velika Kladusa,1,882,A-SDA Party of Democratic Activity,743,737,0,6,0,3.69,1,,
2012,Velika Kladusa,1,1182,ALLIANCE FOR A BETTER FUTURE OF BOSNIA AND HERZEGOVINA - SBBBiH,435,433,2,0,0,2.16,0,,
2012,Velika Kladusa,1,502,People's Party Work for Betterment,103,103,0,0,0,0.51,0,,
2012,Velika Kladusa,1,27,HDZ BiH - CROATIA Democratic Union of BiH,58,58,0,0,0,0.29,0,,
2012,Velika Kladusa,1,734,HSP BiH - CROATIA PARTY OF BOSNIA AND HERZEGOVINA,8,8,0,0,0,0.04,0,,
2012,Cazin,2,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,11899,11775,66,45,13,"43,67",13,,
2012,Cazin,2,90,SDA-STRANKA DEMOKRATSKE AKCIJE,9590,9556,22,6,6,"35,20",11,,
2012,Cazin,2,28,DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ BIH,1885,1871,14,0,0,"6,92",2,,
2012,Cazin,2,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,1829,1819,4,6,0,"6,71",2,,
2012,Cazin,2,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,847,839,7,1,0,"3,11",1,,
2012,Cazin,2,1591,NEZAVISNA LISTA CAZINSKI SLOBODNI DEMOKRATI - CSD,816,809,6,0,1,"2,99",0,,
2012,Cazin,2,4,STRANKA ZA BOSNU I HERCEGOVINU,185,185,0,0,0,"0,68",0,,
2012,Cazin,2,1,BPS-SEFER HALILOVIC,137,137,0,0,0,"0,50",0,,
2012,Cazin,2,36,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIC,22,22,0,0,0,"0,08",0,,
2012,Cazin,2,520,BOSANSKOHERCEGOVACKA NARODNA STRANKA - BNS,21,21,0,0,0,"0,08",0,,
2012,Cazin,2,731,EKOLOSKA STRANKA E5 - ZELENI,7,7,0,0,0,"0,03",0,,
2012,Cazin,2,1015,KLADUSKA STRANKA PRIVREDNOG PROSPERITETA,7,7,0,0,0,"0,03",0,,
2012,Cazin,2,734,HSP BIH - HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE,2,2,0,0,0,"0,01",0,,
2012,Cazin,2,18079,SKRIJELJ ERNES - SDA-STRANKA DEMOKRATSKE AKCIJE,201,200,1,0,0,-,1,y,y
2012,Cazin,2,37499,PUSKAR IDITA - NEZAVISNI KANDIDAT,75,75,0,0,0,-,0,y,n
2012,Cazin,2,20682,MISALJEVIC ADIS - BPS-SEFER HALILOVIC,46,46,0,0,0,-,0,y,n
2012,Cazin,2,8538,BEGANOVIC MERSUD - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,20,20,0,0,0,-,0,y,n
2012,Bihac,3,90,SDA-STRANKA DEMOKRATSKE AKCIJE,10507,10416,53,37,1,"39,41",12,,
2012,Bihac,3,8,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,8133,8056,32,44,1,"30,51",10,,
2012,Bihac,3,882,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,2553,2542,7,4,0,"9,58",3,,
2012,Bihac,3,1182,SAVEZ ZA BOLJU BUDUCNOST BOSNE I HERCEGOVINE - SBB BIH,1518,1505,10,3,0,"5,69",2,,
2012,Bihac,3,730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,958,953,2,3,0,"3,59",1,,
