1;name.original;name.unified1;name.unified2;comment;changed in R;ethnicity;coalition;number of partners;coalition.partner1;coalition.partner2;coalition.partner3;coalition.partner4;
503;Markovic Radoje - 40 Gradana;40 Gradana;40 Gradana;;;nk;;;;;;;
279;Halilovic Muhamed - 40 Gradana;40 Gradana;40 Gradana;;;nk;;;;;;;
760;Ramic Adisa - 40 Gradana;40 Gradana;40 Gradana;;;nk;;;;;;;
1005;Suljkanovic Mehmed - 40 Gradana;40 Gradana;40 Gradana;;;nk;;;;;;;
50;Bdo Bih Bosnjacka Demokratska Organizacija Bih;BDO;BDO;;;nk;;;;;;;
77;Bosansko Demokrata Stranka;BDS;BDS;check;;nk;;;;;;;
78;Bosansko Demokratska Stranka;BDS;BDS;check;;nk;;;;;;;
76;Bosanska Demokratska Unija Bosne I Herzegovine Bdu Bih;BDU;BDU;check;;nk;;;;;;;
69;Blok;Blok;Blok;ok;;nk;;;;;;;
81;Bosanskohercegovacka Narodna Stranka - Bns;Bosanskohercegovacka narodna stranka (BNS);Bosanskohercegovacka narodna stranka (BNS);see http://bns.ba/index.php/o-nama;;M;;;;;;;
2;(bnds) Bosanska Narodna Demokratska Stranka Bosne I Hercegovine;Bosanska Narodna Demokratska Stranka BiH;Bosanska Narodna Demokratska Stranka BiH;check;;nk;;;;;;;
40;Bajramovic Nisad - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);bs.wikipedia.org/wiki/Bosanskohercegova_ka_patriotska_stranka_Sefer_Halilovi_;;B;;;;;;;
43;Bajrovic Nedzad - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
82;Bosanskohercegovacka Patriotska Stranka - Bps;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
83;Bosanskohercegovacka Patriotska Stranka - Sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
85;Bosanskohercegovaka Patriotska Stranka - Bps;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
96;Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
121;Cosic Adnan - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
547;Misaljevic Adis - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
562;Muheljic Suada - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
564;Mujcinovic Edina - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
792;Salihovic Mujo - Bps-sefer Halilovic;Bosanskohercegovacka Patriotska Stranka (BPS);Bosanskohercegovacka Patriotska Stranka (BPS);;;B;;;;;;;
89;Bosnjacka Seljacka Stranka;Bosnjacka Seljacka Stranka;Bosnjacka Seljacka Stranka;;;B;;;;;;;
84;Bosanskohercegovacka Stranka Prava;Bosnjacka Stranka Prava (BSP);Bosnjacka Stranka Prava (BSP);correct?;;B;;;;;;;
90;Bosnjacka Stranka Prava Bih (bsp Bih);Bosnjacka Stranka Prava (BSP);Bosnjacka Stranka Prava (BSP);check ethnicity;;B;;;;;;;
104;Bsp - Bosnjacka Stranka Prava;Bosnjacka Stranka Prava (BSP);Bosnjacka Stranka Prava (BSP);check ethnicity;;B;;;;;;;
105;Bsp-bosnjacka Stranka Prava;Bosnjacka Stranka Prava (BSP);Bosnjacka Stranka Prava (BSP);check ethnicity;;B;;;;;;;
92;Boss - Bosanska Stranka;BOSS - Bosanska Stranka;BOSS - Bosanska Stranka;;;B;;;;;;;
93;Boss - Bosanska Stranka - Mirnes Ajanovic;BOSS - Bosanska Stranka;BOSS - Bosanska Stranka;;;B;;;;;;;
94;Boss - Bosanska Stranka-mirnes Ajanovic;BOSS - Bosanska Stranka;BOSS - Bosanska Stranka;;;B;;;;;;;
59;Bh Da;DA;DA;;;nk;;;;;;;
145;Demokrati Bosne I Herzegovine;Demokrati Bosne I Herzegovine;Demokrati Bosne I Herzegovine;"check ethnicity; from the logo looks like pro-European party";;M;;;;;;;
88;Boskovic-vuletic Sanja - Demokratska Narodna Zajednica Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
144;Democratic National Community Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
146;Demokratska Narodna Zajednica Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);;;S;;;;;;;
147;Demokratska Narodna Zajednica Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
800;Saric Aleksandra - Demokratska Narodna Zajednica Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
1007;Suskalo Slobodan - Demokratska Narodna Zajednica Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
1076;Vugdalic Suad - Demokratska Narodna Zajednica Bih - Dnz Bih;Demokratska Narodna Zajednica (DNZ);Demokratska Narodna Zajednica (DNZ);could be also Multi-ethnic? http://de.wikipedia.org/wiki/Liste_der_politischen_Parteien_in_Bosnien_und_Herzegowina;;S;;;;;;;
148;Demokratska Partija - Dragan Cavic;Demokratska Partija (DP);Demokratska Partija (DP);"Cavic is president of RS; ";;S;;;;;;;
149;Demokratska Patriotska Stranka - Predrag Radic;Demokratska Patriotska Stranka;Demokratska Patriotska Stranka;;;nk;;;;;;;
150;Demokratska Patriotska Stranka Republike Srpske;Demokratska Patriotska Stranka;Demokratska Patriotska Stranka;;;nk;;;;;;;
143;Demokratska Stranka Rs;Demokratska Stranka (DS);Demokratska Stranka (DS);;;S;;;;;;;
151;Demokratska Stranka;Demokratska Stranka (DS);Demokratska Stranka (DS);;;S;;;;;;;
159;Demokratska Stranka Rs;Demokratska Stranka (DS);Demokratska Stranka (DS);;;S;;;;;;;
160;Demokratska Stranka Za Banja Luku I Krajinu;Demokratska Stranka (DS);Demokratska Stranka (DS);;;S;;;;;;;
162;Demokratska Stranka Za Banja Luku I Krajinu;Demokratska Stranka (DS);Demokratska Stranka (DS);;;S;;;;;;;
152;Demokratska Stranka Federalista;Demokratska Stranka Federalista;Demokratska Stranka Federalista;distinct party (see http://en.wikipedia.org/wiki/Democratic_Party_of_Federalists);;S;;;;;;;
142;Dem.str - Invalida Bh;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
153;Demokratska Stranka Invalida Bih;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
154;Demokratska Stranka Invalida Bih (d.s.i. Bih);Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
155;Demokratska Stranka Invalida Bosne I Hercegovine;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
156;Demokratska Stranka Invalida Tuzla;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
384;Isakovic Munir - Demokratska Stranka Invalida Bosne I Hercegovine;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
391;Ivkovic-koste-milorad;Demokratska Stranka Invalida (DSI);Demokratska Stranka Invalida (DSI);check ethnicity;;M;;;;;;;
157;Demokratska Stranka Naroda Srpske;Demokratska Stranka Naroda Srpske;Demokratska Stranka Naroda Srpske;;;S;;;;;;;
158;Demokratska Stranka Narodna Srpske;Demokratska Stranka Narodna Srpske;Demokratska Stranka Narodna Srpske;;;S;;;;;;;
201;Dss - Demokratska Stranka Srpske;Demokratska Stranka Srpske (DSS);Demokratska Stranka Srpske (DSS);check ethnicity;;S;;;;;;;
