PID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,check,NL_NAME_3,VARNAME_3,TYPE_3,ENGTYPE_3
1728,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,81,Banja Luka,ok,,,Opcine,Commune
1708,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,45,Banovici,ok,,,Opcine,Commune
1775,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,128,Berkovici,ok,,,Opcine,Commune
482,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,57,Bihac,ok,,,Opcine,Commune
1749,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,13,Bijeljina,102,Bijeljina,ok,,,Opcine,Commune
1776,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,129,Bileca,ok,,,Opcine,Commune
1729,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,82,Bosanska GradiÅçka,ok,,,Opcine,Commune
483,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,58,Bosanska Krupa,ok,,,Opcine,Commune
1668,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,5,Bosansko Grahovo,ok,,,Opcine,Commune
1782,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,135,Bratunac,ok,,,Opcine,Commune
1664,29,BIH,Bosnia and Herzegovina,1,Brcko,1,Brcko,1,Brcko,ok,,,Opcine,Commune
1716,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,69,Breza,ok,,,Opcine,Commune
485,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,60,BuÅ_im,ok,,,Opcine,Commune
1674,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,11,Bugojno,ok,,,Opcine,Commune
1675,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,12,Busovaca,ok,,,Opcine,Commune
1761,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,114,Cajnice,ok,,,Opcine,Commune
1686,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,23,Capljina,ok,,,Opcine,Commune
486,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,61,Cazin,ok,,,Opcine,Commune
1707,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,44,Celic,ok,,,Opcine,Commune
1727,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,80,Celinac,ok,,,Opcine,Commune
1698,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,35,Centar Sarajevo,ok,,,Opcine,Commune
1687,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,24,Citluk,ok,,,Opcine,Commune
1753,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,106,Derventa,ok,,,Opcine,Commune
1754,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,107,Doboj,ok,,,Opcine,Commune
1709,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,46,Doboj East,ok,,,Opcine,Commune
1717,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,70,Doboj South,ok,,,Opcine,Commune
1676,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,13,Dobretici,ok,,,Opcine,Commune
1695,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,6,Posavina,32,Domaljevac-Å_amac,ok,,,Opcine,Commune
1755,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,108,Donji Å_abar,ok,,Srpsko OraÅçje,Opcine,Commune
1677,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,14,Donji Vakuf,ok,,,Opcine,Commune
1669,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,6,Drvar,ok,,,Opcine,Commune
1731,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,84,Dubica,ok,,,Opcine,Commune
1762,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,115,Foca,ok,,Srbinje,Opcine,Commune
1665,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,2,Bosnian Podrinje,2,Foca-Ustikolina,ok,,,Opcine,Commune
1678,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,15,Fojnica,ok,,,Opcine,Commune
1777,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,130,Gacko,ok,,,Opcine,Commune
1670,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,7,Glamoc,ok,,,Opcine,Commune
1666,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,2,Bosnian Podrinje,3,GoraÅ_de,ok,,,Opcine,Commune
1710,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,47,Gracanica,ok,,,Opcine,Commune
1711,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,48,Gradacac,ok,,,Opcine,Commune
490,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,10,West Herzegovina,65,Grude,ok,,,Opcine,Commune
1699,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,36,HadÅ_ici,ok,,,Opcine,Commune
1768,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,121,Han Pijesak,ok,,,Opcine,Commune
1700,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,37,IlidÅ_a,ok,,Srpska IlidÅ_a,Opcine,Commune
1701,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,38,IlijaÅç,ok,,,Opcine,Commune
1688,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,25,Jablanica,ok,,,Opcine,Commune
1680,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,17,Jajce,ok,,,Opcine,Commune
1733,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,86,Jezero,ok,,,Opcine,Commune
1718,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,71,Kakanj,ok,,,Opcine,Commune
1712,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,49,Kalesija,ok,,,Opcine,Commune
1763,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,116,Kalinovik,ok,,,Opcine,Commune
1681,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,18,Kiseljak,ok,,,Opcine,Commune
1713,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,50,Kladanj,ok,,,Opcine,Commune
487,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,62,Kljuc,ok,,,Opcine,Commune
1689,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,26,Konjic,ok,,,Opcine,Commune
1734,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,87,Kotor VaroÅç,ok,,,Opcine,Commune
1682,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,19,KreÅçevo,ok,,,Opcine,Commune
1735,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,88,Krupa na Uni,ok,,,Opcine,Commune
1736,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,89,Kupres,ok,,,Opcine,Commune
1671,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,8,Kupres,ok,,,Opcine,Commune
1737,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,90,LaktaÅçi,ok,,,Opcine,Commune
1672,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,3,Canton 10,9,Livno,ok,,,Opcine,Commune
1778,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,131,Ljubinje,ok,,,Opcine,Commune
491,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,10,West Herzegovina,66,LjubuÅçki,ok,,,Opcine,Commune
1750,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,13,Bijeljina,103,Lopare,ok,,,Opcine,Commune
1714,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,51,Lukavac,ok,,,Opcine,Commune
1719,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,72,Maglaj,ok,,,Opcine,Commune
1783,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,136,Milici,ok,,,Opcine,Commune
1756,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,14,Doboj,109,Modrica,ok,,,Opcine,Commune
1738,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,91,Mrkonjic Grad,ok,,,Opcine,Commune
1691,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,28,Neum,ok,,,Opcine,Commune
1780,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,17,Trebinje,133,Nevesinje,ok,,,Opcine,Commune
1683,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,4,Central Bosnia,20,Novi Travnik,ok,,,Opcine,Commune
1703,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,40,Novo Sarajevo,ok,,,Opcine,Commune
1696,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,6,Posavina,33,OdÅ_ak,ok,,,Opcine,Commune
1720,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,73,Olovo,ok,,,Opcine,Commune
1697,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,6,Posavina,34,OraÅçje,ok,,,Opcine,Commune
1771,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,124,Pale,ok,,,Opcine,Commune
1667,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,2,Bosnian Podrinje,4,Pale-Praca,ok,,,Opcine,Commune
492,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,10,West Herzegovina,67,PosuÅçje,ok,,,Opcine,Commune
1742,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,95,Prijedor,ok,,,Opcine,Commune
1743,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,96,Prnjavor,ok,,,Opcine,Commune
1692,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,29,Prozor-Rama,ok,,,Opcine,Commune
1693,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,30,Ravno,ok,,,Opcine,Commune
1744,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,97,Ribnik,ok,,Srpski Kljuc,Opcine,Commune
1772,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,125,Rogatica,ok,,,Opcine,Commune
1765,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,15,Foca,118,Rudo,ok,,,Opcine,Commune
488,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,9,Una-Sana,63,Sanski Most,ok,,,Opcine,Commune
477,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,52,Sapna,ok,,,Opcine,Commune
1746,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,99,Skender Vakuf / KneÅ_evo,ok,,,Opcine,Commune
1773,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,16,Istocno Sarajevo,126,Sokolac,ok,,,Opcine,Commune
1747,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,12,Banja Luka,100,Srbac,ok,,,Opcine,Commune
1786,29,BIH,Bosnia and Herzegovina,3,Repuplika Srpska,18,Vlasenica,139,Srebrenica,ok,,,Opcine,Commune
478,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,8,Tuzla,53,Srebrenik,ok,,,Opcine,Commune
1704,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,7,Sarajevo,41,Stari Grad Sarajevo,ok,,Srpski Stari Grad,Opcine,Commune
1694,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,5,Herzegovina-Neretva,31,Stolac,ok,,,Opcine,Commune
1721,29,BIH,Bosnia and Herzegovina,2,Federacija Bosna i Hercegovina,11,Zenica-Doboj,74,TeÅçan/ Usora,ok,,,Opcine,Commune
