period;position;party;name;n.position;interval;date;month;check;dupes;check2
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;date.start;1997-01-03;1997-01-01;2;   1;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-02-01;2;   2;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-03-01;2;   3;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-04-01;2;   4;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-05-01;2;   5;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-06-01;2;   6;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-07-01;2;   7;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-08-01;2;   8;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-09-01;2;   9;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-10-01;2;  10;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-11-01;2;  11;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1997-12-01;2;  12;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-01-01;2;  13;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-02-01;2;  14;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-03-01;2;  15;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-04-01;2;  16;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-05-01;2;  17;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-06-01;2;  18;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-07-01;2;  19;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-08-01;2;  20;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-09-01;2;  21;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-10-01;2;  22;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-11-01;2;  23;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1998-12-01;2;  24;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SBiH;Dr. HARIS SILAJDŽIĆ;2;NA;NA;1999-01-01;2;  25;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;date.start;1997-01-03;1997-01-01;2;   1;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-02-01;2;   2;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-03-01;2;   3;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-04-01;2;   4;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-05-01;2;   5;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-06-01;2;   6;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-07-01;2;   7;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-08-01;2;   8;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-09-01;2;   9;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-10-01;2;  10;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-11-01;2;  11;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1997-12-01;2;  12;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-01-01;2;  13;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-02-01;2;  14;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-03-01;2;  15;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-04-01;2;  16;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-05-01;2;  17;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-06-01;2;  18;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-07-01;2;  19;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-08-01;2;  20;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-09-01;2;  21;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-10-01;2;  22;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-11-01;2;  23;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1998-12-01;2;  24;0
RAZDOBLJE 1996. – 1998. godine;Co-Chair;SDS;BORO BOSIĆ;1;NA;NA;1999-01-01;2;  25;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;date.start;1997-01-03;1997-01-01;1;  42;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-02-01;1;  43;0
RAZDOBLJE 1996. – 1998. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1997-03-01;1;  44;0
